,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,optimizer,mapping,ansatz,rotation blocks,entanglement_blocks,entanglement,repetitions,skip_final_rotation_layer,energy (Ha),error (mHa),pass,# of parameters,final parameters,# of evaluations,optimizer time,# of qubits,# of CNOTs,score
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COBYLA,JordanWignerMapper,TwoLocal,"['ry', 'rz']",cx,full,3.0,True,-1.8533628495566552,0.0007691153811606,True,24,"[ 2.25391031e-01 -3.97793089e-04 -1.87816537e-02  9.18269204e-01
  2.28663219e-01 -1.89898562e-01  3.92475361e-01 -4.39816238e-04
  3.14164574e+00  3.84029863e-03  2.18628535e-01 -1.76295427e-04
 -3.19808985e-01  1.18225593e+00  1.05365850e+00  5.69699467e-01
  3.81620256e-03 -2.36055854e-01  2.25795149e-01  2.10043831e-01
  2.87211763e-01  3.63888962e-01 -6.15546851e-05 -2.31206727e-04]",500,9.16037106513977,4,18,18
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,COBYLA,JordanWignerMapper,TwoLocal,"['ry', 'rz']",cx,full,3.0,True,-8.56880059998302,339.8965164412502,False,72,"[-0.03761213  0.1371409  -0.21425929  0.7981408   1.46282619  2.29802885
  0.07487225  0.79643886  1.66644397  1.40038964 -0.24788256 -0.15150436
  0.50538977 -0.2012132   1.24165694  0.74654317  0.0720997  -0.31191552
  1.08275548  1.36787857  1.6783515   1.38091445 -0.17262436 -0.11894797
 -0.04011873  0.31568908  0.08430639  0.02842116  0.09043541  1.36037402
 -0.35662394 -0.16755237 -0.10628232  0.50686464  0.19090665  3.22223681
  0.7557666   1.85314082  0.68971165  1.15576576  0.45378422  1.47356552
 -0.11579055  0.00815161 -0.04888787  0.71926025 -1.22653289  0.94061239
  1.65902446  1.59804496 -0.12750437  0.05520896  0.03455401 -0.08079979
 -0.39620216  0.05332352  0.25975437  0.76563915  1.58715048 -0.25271168
 -0.41461289  0.0325555   1.076744    0.70739924 -0.3991428   0.20287652
 -0.09148282  0.88984962 -0.17088471 -0.14067366 -0.04087284  0.07834205]",500,119.4261600971222,12,198,198
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,SLSQP,JordanWignerMapper,TwoLocal,"['rx', 'rx']",cz,full,3.0,True,-8.889048601044701,19.648515379596887,False,72,"[ 6.66029754e-03 -1.64048156e-04 -1.51503436e-06  6.66029754e-03
  6.76641280e-03 -1.38926235e-04 -1.63999741e-04 -1.63762982e-04
 -3.52626691e-06  6.64391637e-03  6.76729243e-03  6.76669943e-03
 -1.41405440e-04 -1.63547870e-04 -1.63474883e-04 -1.85244593e-06
  1.31227208e-02  1.32316728e-02 -3.04855436e-05 -1.02369234e-04
 -1.01007408e-04  3.08812231e-05 -1.38762413e-04  1.31392108e-02
  1.32332058e-02 -3.00773833e-05 -1.01951279e-04 -1.01512787e-04
  3.37620533e-05  1.31226301e-02  1.32323680e-02 -3.00574456e-05
 -1.02318459e-04 -1.64113296e-04 -1.01174135e-04  3.01592777e-05
  1.31392108e-02  1.32325606e-02 -3.02179343e-05 -1.02031272e-04
 -1.02268698e-04  3.34588961e-05  6.48691945e-03  6.79161165e-03
 -1.63706204e-04  5.36590345e-06 -1.06563482e-04 -1.05691902e-04
  1.68964129e-05  6.47233221e-03  6.79218986e-03  5.94608920e-06
 -1.04838716e-04 -1.05400556e-04  1.84900791e-05 -3.79495652e-06
  6.48691945e-03  6.79193106e-03  6.07584429e-06 -1.05581614e-04
 -1.05123423e-04  1.72845997e-05  6.47256412e-03  6.79264774e-03
  6.36692734e-06 -1.05463816e-04  6.64392541e-03 -1.03969878e-04
  1.86697909e-05  6.76729243e-03 -1.40831257e-04 -1.63428256e-04]",588,156.85417437553406,12,198,198
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,,,,SLSQP,JordanWignerMapper,TwoLocal,,,,,,-8.889048601044701,19.64851537953293,False,72,"[ 6.66029754e-03 -1.64048156e-04 -1.51503436e-06  6.66029754e-03
  6.76641280e-03 -1.38926235e-04 -1.63999741e-04 -1.63762982e-04
 -3.52626691e-06  6.64391637e-03  6.76729243e-03  6.76669943e-03
 -1.41405440e-04 -1.63547870e-04 -1.63474883e-04 -1.85244593e-06
  1.31227208e-02  1.32316728e-02 -3.04855436e-05 -1.02369234e-04
 -1.01007408e-04  3.08812231e-05 -1.38762413e-04  1.31392108e-02
  1.32332058e-02 -3.00773833e-05 -1.01951279e-04 -1.01512787e-04
  3.37620533e-05  1.31226301e-02  1.32323680e-02 -3.00574456e-05
 -1.02318459e-04 -1.64113296e-04 -1.01174135e-04  3.01592777e-05
  1.31392108e-02  1.32325606e-02 -3.02179343e-05 -1.02031272e-04
 -1.02268698e-04  3.34588961e-05  6.48691945e-03  6.79161165e-03
 -1.63706204e-04  5.36590345e-06 -1.06563482e-04 -1.05691902e-04
  1.68964129e-05  6.47233221e-03  6.79218986e-03  5.94608920e-06
 -1.04838716e-04 -1.05400556e-04  1.84900791e-05 -3.79495652e-06
  6.48691945e-03  6.79193106e-03  6.07584429e-06 -1.05581614e-04
 -1.05123423e-04  1.72845997e-05  6.47256412e-03  6.79264774e-03
  6.36692734e-06 -1.05463816e-04  6.64392541e-03 -1.03969878e-04
  1.86697909e-05  6.76729243e-03 -1.40831257e-04 -1.63428256e-04]",588,121.26549911499023,12,198,198
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,,,,COBYLA,ParityMapper,PUCCD,,,,,,-8.904548323645061,4.148792779163912,False,8,"[-0.00391931 -0.00172002 -0.00168263 -0.00093887 -0.00966564 -0.03002563
 -0.03014619 -0.11145667]",144,17.199724912643433,10,800,800
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,,,,,,SLSQP,ParityMapper,PUCCD,,,,,,-8.904548448926734,4.148667497561931,False,8,"[-0.00401207 -0.00169542 -0.00169896 -0.00094538 -0.01005682 -0.02989612
 -0.02990941 -0.11152109]",76,12.651641607284546,10,800,800
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,,SLSQP,ParityMapper,UCCSD,,,,,,-8.908687007920285,0.0101085039965198,True,34,"[ 1.80453419e-04  1.13559918e-04 -2.34365429e-04 -1.03649752e-04
 -1.83336306e-03 -3.07090991e-03 -1.82487833e-03 -3.07111942e-03
  5.57292874e-05 -9.70536494e-04 -9.05116698e-04 -5.65662911e-04
 -3.98525065e-04 -2.33518118e-04 -9.17391274e-04 -3.39328862e-02
  5.67924394e-02 -3.07147740e-03 -2.79116259e-02 -3.07263212e-03
 -2.79215673e-02 -9.47816066e-05  3.71640684e-02 -2.60278321e-04
  5.69286729e-02 -1.11116872e-01 -8.41909166e-04  3.34532832e-03
  1.76100827e-04 -5.37455008e-04  3.71592172e-02  3.34676546e-03
 -8.14033481e-04 -3.80478902e-03]",501,98.88091540336607,8,2024,2024
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,,,,,,,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,full,3.0,True,-8.409073313968188,331.7634091691026,False,48,"[ 3.39387554e-03  1.22505814e-02  1.50684890e-03 -7.89116275e-03
  1.87575605e-03  7.94604739e-03  7.93099422e-03 -1.46067344e-04
  3.20947933e+00 -1.64234722e+00 -3.83897380e-02 -4.35399369e-03
  3.66760942e-02 -1.48674917e+00  1.16492548e+00 -6.54519436e-01
 -1.47125767e-03  2.02420404e-02 -6.07028182e-07  5.40592246e-05
 -2.45137563e-03 -3.02062323e-04  8.68694339e-05 -2.99611689e-03
 -5.71516695e-03  2.93161741e-03  1.46758522e-02  1.49907017e+00
  1.56969534e+00  1.10379135e-01 -1.55748760e+00  1.16509144e+00
  1.23059137e+00  1.60208212e+00  1.92991092e-03 -1.18041124e-02
  2.64450409e-02 -5.88902970e-03  9.63130158e-04  3.19696050e-02
  7.77443056e-03 -1.96420227e-02 -4.14301264e-03 -4.43001785e-01
 -5.25007345e-01 -8.35156738e-01 -4.16993183e-04  6.33931437e-03]",4518,193.16212677955627,8,84,84
8,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,,,,,,,,SLSQP,ParityMapper,UCCSD,,,,,,-8.908687011581359,0.0101048428504668,True,34,"[ 1.81663826e-04  6.79891391e-05 -2.34814256e-04 -1.02395564e-04
 -1.83235530e-03 -3.07057093e-03 -1.82565321e-03 -3.07083065e-03
  1.01480148e-04 -9.70452593e-04 -9.06554907e-04 -5.63875042e-04
 -3.99199390e-04 -2.34427635e-04 -9.15420887e-04 -3.39354632e-02
  5.67909971e-02 -3.07122214e-03 -2.79109547e-02 -3.07195853e-03
 -2.79214688e-02 -9.59983342e-05  3.71626175e-02 -2.59441534e-04
  5.69277130e-02 -1.11116405e-01 -8.42102247e-04  3.34457864e-03
  1.75926925e-04 -5.39105651e-04  3.71570486e-02  3.34597811e-03
 -8.14882488e-04 -3.80462368e-03]",501,89.88552188873291,8,2024,2024
9,9.0,9.0,9.0,9.0,9.0,0.0,,,,,,,,,,SLSQP,ParityMapper,UCCSD,,,,,,-1.0887059970623751,7819.991119361834,False,8,"[ 0.0327243   0.00503186  0.03272051  0.00503271 -0.0364903   0.05753624
  0.05763175 -0.11250611]",64,1.561091423034668,4,172,172
